Title of debate,Date,Members,Classification,Year
Soil Erosion at River Banks,03/06/20,Ajay Misra (TENI),,2020
Protection of Coastline,03/06/20,Manoj Kishorbhai Kotak,,2020
Deaths due to Air Pollution,03/06/20,Hemant Shriram PatilDhairyasheel S. ManeShrikant Eknath ShindeSujay Radhakrishna VikhepatilUnmesh Bhaiyyasaheb Patil,,2020
Pollution in Ocean by Plastic Waste,03/06/20,S. Jagathrakshakan,,2020
Reverse Osmosis Systems,03/06/20,V.K. Sreekandan,,2020
Elephant Deaths due to Train Accidents,03/06/20,Nitesh Ganga Deb,,2020
Climate Change Action Plans,03/06/20,Chinta Anuradha,,2020
Increase in Forest Area,03/06/20,Queen OjaBharati Dhirubhai ShiyalJayant SinhaRanjanben Bhatt,,2020
Mitigating Marine Plastic Litter,03/06/20,Veeraswamy Kalanidhi,,2020
Forest Area,03/06/20,Jyotirmay Singh Mahato,,2020
Air Pollution due to Ships,03/06/20,Ranjanben Bhatt,,2020
Management of Hazardous Wastes,03/06/20,Jayant Sinha,,2020
Mining in Forest Areas,03/06/20,Anantkumar Hegde,,2020
Redevelopment of Forest Area,03/06/20,Nand Kumar Singh Chauhan,,2020
Plantation of Trees on Banks of River Ganga,03/06/20,Khagen Murmu,,2020
Environmental Clearance for Projects,03/06/20,Bharat Ram Margani,,2020
Eco Task Force Battalions,03/06/20,Tirath Singh Rawat,,2020
Hydrocarbon Project,03/06/20,Dayanidhi Maran,,2020
Forest Area in West Bengal,03/06/20,Dilip Ghosh,,2020
Animals in Zoo,03/06/20,Pratima Mondal,,2020
Environment Clearance for Industries,03/06/20,Chandra Prakash Choudhary,,2020
Recycling of Plastic Scrap,03/06/20,Mukesh Rajput,,2020
Vacancies in Central and State Control Boards,03/06/20,Sanjay Jaiswal,,2020
Challenges of Climate Change,03/06/20,Amar Singh,,2020
Forest Cover in India,03/06/20,Ritesh Pandey,,2020
Swach-Nirmal Tat Abhiyan,03/06/20,Francisco Sardinha,,2020
Land Degradation and Desertification,03/06/20,Manish Tewari,,2020
Spreading of Prosopis Juliflora,03/06/20,S.P. Singh Baghel,,2020
Emission from Coal based Power Plants,03/06/20,Kunhalikutty P.K.Jyotsna Charandas Mahant,,2020
Depletion of Natural Capital Assets,03/06/20,Gangasandra Siddappa Basavaraj,,2020
Prevention of Forest Fire,03/06/20,Thalikkottai Rajuthevar Baalu,,2020
Increase in Tree Cover,03/06/20,Nama Nageswara Rao,,2020
Forest Development Projects,03/06/20,Diya Kumari,,2020
Global Warming,02/07/20,Baidyanath Prasad Mahato,,2020
Recruitment Policy of Forest Department,02/07/20,Manicka Tagore,,2020
Pollution during Winter Season,02/07/20,Dibyendu Adhikari,,2020
Pollution due to Stubble Burning,02/07/20,Manish Tewari,,2020
Cities Identified under National Clean Air Programme,02/07/20,Jayadev GallaBalashowry Vallabbhaneni,,2020
Illegal Cutting of Trees,02/07/20,Chunni Lal Sahu,,2020
Forest Development Projects through Foreign Assistance,02/07/20,Diya Kumari,,2020
Protection of Bio-diversity,02/07/20,Parbhubhai Nagarbhai Vasava,,2020
Reduction in Proliferation of Plastic,02/07/20,Suresh Kodikunnil,,2020
Climate Change,02/07/20,Jamyang Tsering Namgyal,,2020
NOC from Forest Department,02/07/20,Ramdas Chandrabhanji TadasDharambir Singh,,2020
Mandakol Reserved Forest,02/07/20,Rajmohan Unnithan,,2020
Ban on Methyl Isocyanate,02/07/20,Feroze Varun Gandhi,,2020
Increase in Green Cover,02/07/20,Pallab Lochan DasSunil Baburao Mendhe,,2020
Pollution from Plastic,02/07/20,Unmesh Bhaiyyasaheb Patil,,2020
Environmental Approval for Slum Rehabilitation Projects,02/07/20,Francisco Sardinha,,2020
Green Credit Scheme,02/07/20,A. Ganeshamurthi,,2020
Adverse effects of Air Pollution,02/07/20,Sharda Anilkumar Patel,,2020
Restoration of Wetlands/Lakes,02/07/20,Arvind Ganpat Sawant,,2020
Protection of Crops from Wild Animals,02/07/20,Annpurna DeviRama Devi,,2020
Kyoto Protocol Targets,02/07/20,K. Muraleedharan,,2020
Animals affected by Floods,02/07/20,K. Shanmuga Sundaram,,2020
Diversion of Forest Land,02/07/20,Vishnu Dayal Ram,,2020
Forest Cover in North-East,02/07/20,Deepak (Dev) AdhikariNama Nageswara Rao,,2020
Compensatory Afforestation Fund Act,02/07/20,Kaushal KishoreSaugata RoyUpendra Singh Rawat,,2020
Preservation of Wetland,02/07/20,Sudhakar Tukaram ShrangareAbdul Khaleque,,2020
Pollution in Cities,02/07/20,Kaushalendra KumarRajiv Ranjan (Lalan) Singh,,2020
Single-Use Plastic,02/07/20,Tapir Gao,,2020
Destruction by Wild Elephants,02/07/20,Naba Kumar Sarania,,2020
Plantation Programme,02/07/20,Chandan Singh,,2020
Depletion of Ozone Layer,02/07/20,Gopal Chinayya Shettya,,2020
Wildlife Corridors,02/07/20,Sunil Baburao Mendhe,,2020
Proper Utilisation of Paper,02/07/20,Rakesh Singh,,2020
Increase in Particulate Matter (PM 10),02/07/20,Deepak Baij,,2020
Loss of Animals and Birds,02/07/20,Kripanath Mallah,,2020
Carbon Emissions,02/07/20,S. Jagathrakshakan,,2020
Shift in Energy Production,02/07/20,Shashi Tharoor,,2020
Fine for Cutting of Trees,02/07/20,Ramya Haridas,,2020
Change in Forest Cover,02/07/20,Raja Amareshwara NaikBhola SinghJayanta Kumar RoySangeeta Kumari Singh DeoSukanta MajumdarSushil Kumar SinghVinod Kumar Sonkar,,2020
Increase in Plantation,02/07/20,Ravneet SinghT. R. Paarivendhar,,2020
Human-Elephant Conflicts,02/07/20,Jayant Sinha,,2020
e-Waste,02/07/20,Jyotirmay Singh Mahato,,2020
Increase in Temperature,02/07/20,Sisir Kumar Adhikari,,2020
Solid Waste Management,02/07/20,S.R. Parthiban,,2020
Effects of Climate Change,02/07/20,Jual Oram,,2020
Notification on Western Ghats,02/07/20,Adoor Prakash,,2020
Pollution by Industrial Units,02/07/20,Kunhalikutty P.K.,,2020
Increase in Pollution Levels,02/07/20,Ashok Kumar RawatBalubhau Narayanrao (Alias Suresh) DhanorkarGopal Chinayya ShettyKani K. NavasNishikant Dubey,,2020
Climate Change,02/07/20,Lallu SinghAnil FirojiyaMohanbhai Kalyanjibhai Kundariya,,2020
Sustainable Development Goals,02/07/20,Chirag PaswanRebati Tripura,,2020
Emissions of Green House Gases,02/07/20,Kuldeep Rai SharmaAmol Ramsing KolheGautham Sigamani PonShriniwas Dadasaheb PatilSupriya Sule,,2020
Ethanol Plants,02/07/20,Kotagiri SridharM V V SatyanarayanaMagunta Sreenivasulu ReddyMidhun ReddyPocha Brahmananda ReddyReddeppa Nallakonda Gari,,2020
India Cooling Action Plan,02/07/20,Gitaben Vajesingbhai RathvaJaswantsinh Sumanbhai BhabhorNaranbhai KachhadiaParbatbhai Savabhai PatelPradeep Kumar SinghRajiv Pratap Rudy,,2020
Cutting of Trees,02/07/20,Bheemrao Baswanthrao Patil,,2020
Waste Management,02/07/20,Sumedhanand Saraswati,,2020
National Clean Air Programme,02/07/20,Manoj Kishorbhai Kotak,,2020
Social Forestry Schemes,02/07/20,Talari Rangaiah,,2020
Forest Fire,02/07/20,E.T. Mohammad BashirSunil Kumar Singh,,2020
Funds Allocated for Combating Air Pollution,12/13/2019,Rajyavardhan Singh Rathore,,2019
Deforestation,12/13/2019,Dushyant Singh,,2019
Bannerghata National Park,12/13/2019,L.S. Tejasvi Surya,,2019
e-Waste,12/13/2019,Ritesh Pandey,,2019
Threat to Wildlife,12/13/2019,Saugata Roy,,2019
Afforestation Units,12/13/2019,P. Ravindhranath,,2019
Waste Management,12/13/2019,Gautham Sigamani Pon,,2019
Import of Plastic Waste,12/13/2019,P.P. Chaudhary,,2019
Green Skill Development Programme,12/13/2019,Naranbhai KachhadiaGitaben Vajesingbhai RathvaJagdambika PalShantanu Thakur,,2019
Single use Plastic,12/13/2019,Nishikant DubeyGaurav GogoiS.R. Parthiban,,2019
Proposal for Small Irrigation Project,12/13/2019,Ashok Mahadeorao Nete,,2019
Illegal Sand Mining from Rivers,12/13/2019,Locket Chatterjee,,2019
Extinction of Animals/Birds Species,12/13/2019,Queen OjaBharati Dhirubhai ShiyalShankar Lalwani,,2019
Ban on Plying of Old Vehicles,12/13/2019,K. Shanmuga Sundaram,,2019
Climate Related Disasters,12/13/2019,Rajmohan Unnithan,,2019
Installation of Gyrones,12/13/2019,Kanimozhi KarunanidhiGautham Sigamani Pon,,2019
"Forest Rights Act, 2006",12/13/2019,Raju Bista,,2019
Massive Disaster of Flora and Fauna,12/13/2019,Sumalatha Ambareesh,,2019
Environmental Degradation Caused by Mining,12/13/2019,Narayana Swamy Abbaiah,,2019
Ecologically Sensitive Area,12/13/2019,Shobha Karandlaje,,2019
Number of Peacocks,12/13/2019,C.N. Annadurai,,2019
Lake Beautification Projects,12/13/2019,Rajendra Agrawal,,2019
Protection of One-horned Rhinoceros,12/13/2019,Heena Vijayakumar GavitDNV Senthilkumar S.Shrirang Appa BarneVinayak Bhaurao Raut,,2019
Policy on Common Property Resources,12/13/2019,Ranjan Singh Rajkumar,,2019
Protection of Wildlife Habitats,12/13/2019,Rajan Baburao Vichare,,2019
Construction around Flamingo Sanctuary,12/13/2019,Dinesh Chandra Yadav,,2019
Environmental Pollution,12/13/2019,Chandra Prakash Joshi,,2019
Tiger Population,12/13/2019,Mohanbhai Kalyanjibhai KundariyaSoyam Bapu Rao,,2019
National Afforestation Programme,12/13/2019,Bharati Dhirubhai ShiyalShankar Lalwani,,2019
Use of PNG/Bio-CNG in Industries,12/13/2019,Khagen Murmu,,2019
Greenhouse Gas Emissions,12/13/2019,Rajdeep Roy,,2019
National Forest Policy,12/13/2019,Vijay Kumar,,2019
Pruning of Trees along with Roads,12/13/2019,Manoj Rajoria,,2019
"Implementation of Plastic Management Rules,2016",12/13/2019,Karti P. Chidambaram,,2019
"Forest Rights Act, 2006",12/13/2019,Balubhau Narayanrao (Alias Suresh) DhanorkarKani K. Navas,,2019
Replacement of Leased Vehicles,12/13/2019,Diya Kumari,,2019
Land Reserved for Forests,12/13/2019,Pratima Mondal,,2019
Protection of Coral Reefs,12/13/2019,Kapil Moreshwar PatilS. Jothi Mani,,2019
Effects of Odd-Even Scheme,12/13/2019,Shashi Tharoor,,2019
Use of Plastic and Rubber Waste,12/13/2019,Sujay Radhakrishna VikhepatilDhairyasheel S. ManeShrikant Eknath Shinde,,2019
Use of Plastic in Packaging Industry,12/13/2019,Gaurav Gogoi,,2019
National Green Tribunal,12/13/2019,Jayanta Kumar RoyBhola SinghRaja Amareshwara NaikSangeeta Kumari Singh DeoSukanta Majumdar,,2019
National Centre for Sustainable Coastal Management,12/13/2019,Meenakshi Lekhi,,2019
Cellulose-based Bio-plastics,12/13/2019,Ranjeeta Koli,,2019
Environmental Laws for Industries,12/13/2019,Kunwar Danish Ali,,2019
Impact of Climate Change,12/13/2019,Jaskaur Meena,,2019
Sariska Tiger Reserve,12/13/2019,Pinaki Misra,,2019
Genetically Modified Soybean,12/13/2019,Rajiv Pratap Rudy,,2019
Study on Global Warming,12/13/2019,Ajay Tamta,,2019
Effects of Pollution on Himalayan Glaciers,12/13/2019,Mimi ChakrabortyDibyendu Adhikari,,2019
Reserved Forests,12/13/2019,Janardan MishraRodmal Nagar,,2019
Conservation of Environment,12/13/2019,Baidyanath Prasad Mahato,,2019
Facilities in Forest Areas,12/06/19,Sanjay (Kaka) Ramchandra Patil,,2019
Alternatives to Plastic,12/06/19,Sanjay Haribhau Jadhav,,2019
Swachh-Nirmal Tat Abhiyaan,12/06/19,Gangasandra Siddappa Basavaraj,,2019
RO Systems,12/06/19,Feroze Varun Gandhi,,2019
Desertification,12/06/19,Anil Firojiya,,2019
Conservation of Environment,12/06/19,Gaurav Gogoi,,2019
National Clean Air Programme,12/06/19,Manish Tewari,,2019
Coastal Regulation Zone,12/06/19,Faizal P.P. Mohammed,,2019
Campaign to Protect Whale Sharks,12/06/19,Hibi Eden,,2019
Impact of Urbanisation on Environment,12/06/19,Sushil Kumar SinghManoj Rajoria,,2019
Reports on Pollution,12/06/19,Kaushal KishoreJanardan Singh SigriwalPratima MondalUpendra Singh Rawat,,2019
Death of Birds around Sambhar Lake,12/06/19,Kanimozhi Karunanidhi,,2019
Poaching of Animals,12/06/19,Magunta Sreenivasulu Reddy,,2019
PARIVESH,12/06/19,Gowdar Mallikarjunappa Siddeshwara,,2019
Forest Cover,12/06/19,Shobha Karandlaje,,2019
Single-use Plastic,12/06/19,Thalikkottai Rajuthevar Baalu,,2019
Monitoring of Pollution,12/06/19,Jasbir Singh Gill,,2019
Import of e-waste,12/06/19,Narayana Swamy Abbaiah,,2019
Environmental Degradation Caused by Mining,12/06/19,Dipsinh Shankarsinh Rathod,,2019
Climate Change,12/06/19,Dibyendu Adhikari,,2019
Climate Emergency,12/06/19,Khagen Murmu,,2019
Environmental Clearance to Ethanol Plant,12/06/19,Deepak Baij,,2019
Development Project Proposals,12/06/19,Shankar Lalwani,,2019
Damage to Environment by Pollution,12/06/19,Ramprit Mandal,,2019
Strengthening of Pollution Control Boards,12/06/19,Poonamben Hematbhai MaadamBharati Pravin Pawar,,2019
Use of PNG by Industries,12/06/19,Sudheer GuptaBidyut Baran MahatoGajanan Chandrakant KirtikarMohan S. DelkarPrataprao Ganpatrao JadhavSanjay Sadashivrao Mandlik,,2019
Swachh-Nirmal Tat Abhiyan,12/06/19,Malook Nagar,,2019
Challenges of Pollution and Environment,12/06/19,Bharati Dhirubhai ShiyalQueen Oja,,2019
Poaching of Animals and Birds,12/06/19,Sangeeta Kumari Singh DeoRaja Amareshwara NaikSukanta MajumdarVinod Kumar Sonkar,,2019
Tiger Population,12/06/19,Abdul Khaleque,,2019
Wild Animals,12/06/19,Pallab Lochan Das,,2019
Kaziranga National Park,12/06/19,Kaushalendra KumarRajiv Ranjan (Lalan) Singh,,2019
Monkey Menace,12/06/19,Sanjay Seth,,2019
Environment Pollution,12/06/19,Sumedhanand Saraswati,,2019
Disposal of Urban Solid Waste,12/06/19,Suresh Kodikunnil,,2019
Movement of Pollutant Particles towards Eastern Coast,12/06/19,C.N. Annadurai,,2019
Construction of Houses and Roads for Tribals,12/06/19,Kanakmal Katara,,2019
Air and Water Purity,12/06/19,Pinaki Misra,,2019
Compensatory Afforestation Management and Planning Authority,12/06/19,Meenakshi LekhiL.S. Tejasvi Surya,,2019
Reduction in Air Pollution,12/06/19,Manoj Rajoria,,2019
Green Skill Development Programme,12/06/19,Gautham Sigamani Pon,,2019
Rise in Sea Level,12/06/19,Uday Pratap Singh,,2019
Van Gram Vikas Yojana,12/06/19,Mukesh Rajput,,2019
Zoological Park/Herbal Parks,12/06/19,Pashupati Nath SinghRama Devi,,2019
National Clean Air Programme,12/06/19,Mansukhbhai D. Vasava,,2019
Coastal Erosion,12/06/19,Thomas Chazhikadan,,2019
Conservation of Lakes,12/06/19,M. K. Raghavan,,2019
Plastic Packaging,12/06/19,Diya Kumari,,2019
Eco-Sensitive Zone,12/06/19,Nalin Kumar Kateel,,2019
Greenhouse Gases,12/06/19,Sadashiv Kisan LokhandePashupati Nath Singh,,2019
e-Waste,12/06/19,Adoor Prakash,,2019
Conservation of Western Ghats,12/06/19,Annpurna DeviRama Devi,,2019
Extended Producer Responsibility,12/06/19,Baidyanath Prasad Mahato,,2019
Menace of Wild Animals,11/29/2019,Ramesh BidhuriRajiv Ranjan (Lalan) Singh,,2019
Tree Plantation Programme,11/29/2019,Behanan Benny,,2019
Urban Waste Management Projects,11/29/2019,Kotagiri Sridhar,,2019
Ban on Idols Made with Toxic Materials,11/29/2019,P.C. Mohan,,2019
Tigers in Bandipur Forest,11/29/2019,Manoj Kishorbhai Kotak,,2019
National Coastal Mission,11/29/2019,E.T. Mohammad Bashir,,2019
GM Crops,11/29/2019,Raja Amareshwara NaikA. RajaBhola SinghSellaperumal RamalingamSangeeta Kumari Singh DeoSukanta MajumdarVeeraswamy Kalanidhi,,2019
Land Degradation Neutrality Programme,11/29/2019,Hibi Eden,,2019
Violation of Environmental Regulations by Manufacturing Industries,11/29/2019,Veena DeviChandeshwar PrasadGopal Chinayya Shetty,,2019
Effects of Air Pollution,11/29/2019,T. Sumathy (A) Thamizhachi Thangapandian,,2019
Action against Builders for Violation of Environmental Rules,11/29/2019,Mitesh Rameshbhai Patel,,2019
Threats of Global Warming,11/29/2019,Balashowry Vallabbhaneni,,2019
Passenger Ropeways,11/29/2019,Shantanu Thakur,,2019
Environment Clearance to Industrial Units,11/29/2019,A. GaneshamurthiT. R. Paarivendhar,,2019
"Indian Forest Act, 1927",11/29/2019,Balubhau Narayanrao (Alias Suresh) DhanorkarKani K. Navas,,2019
Policy for Environmental Conservation,11/29/2019,Ranjanben Bhatt,,2019
Protection of Eagle Species,11/29/2019,Dibyendu Adhikari,,2019
Death of Marine Life due to Climate Change,11/29/2019,Sunil Kumar Mondal,,2019
Funds for Green Environment,11/29/2019,Kirit Premjibhai Solanki,,2019
Compensatory Afforestation Fund,11/29/2019,Gaddam Ranjith Reddy,,2019
Air Quality Monitoring Stations,11/29/2019,K. Subbarayan,,2019
Paris Climate Accord,11/29/2019,Naba Kumar Sarania,,2019
Reserve Forests in Assam,11/29/2019,Sisir Kumar AdhikariRajiv Pratap Rudy,,2019
Flood Risks due to Rising Sea Levels,11/29/2019,Queen OjaBharati Dhirubhai Shiyal,,2019
Release of Untreated Waste Water by Companies,11/29/2019,K. Muraleedharan,,2019
Plastic Bags for Distribution of Saplings,11/29/2019,Rahul Kaswan,,2019
Water Quality of Indira Gandhi Canal,11/29/2019,Komati Reddy Venkat ReddyMagunta Sreenivasulu ReddyMidhun Reddy,,2019
Leadership Group for Decarbonising Economies,11/29/2019,Jagdambika Pal,,2019
Forest Fire,11/29/2019,Ramya Haridas,,2019
Pollution from Coal Mines and Power Plants,11/29/2019,Gurjeet Singh Aujla,,2019
National Clean Air Programme,11/29/2019,Nihal Chand Chauhan,,2019
Reserved Forest Land,11/29/2019,Parvesh Sahib SinghManoj Kumar Tiwari,,2019
Air Purifier Tower,11/29/2019,Ramesh Chander KaushikSaikia Dilip,,2019
Management of Waste Products,11/29/2019,Chandra Prakash Choudhary,,2019
Environment Protection Measures,11/29/2019,Geetha Viswanath Vanga,,2019
Mangrove Forests,11/29/2019,Pinaki Misra,,2019
Carbon Sinks,11/29/2019,Dipsinh Shankarsinh Rathod,,2019
Scheme to Protect Children from Pollution,11/29/2019,T.N. Prathapan,,2019
Pollution by Industrial Firms,11/29/2019,Thomas Chazhikadan,,2019
Waste Water Treatment Plants,11/29/2019,Doddaalahalli Kempegowda Suresh,,2019
Man-Animal Conflicts,11/29/2019,Pratima BhoumikRam Shankar Katheria,,2019
Production of Ethanol,11/29/2019,Rajiv Pratap Rudy,,2019
Gangetic Dolphin,11/29/2019,Chhatar Singh DarbarMansukhbhai D. VasavaVirendra Kumar,,2019
Compensatory Afforestation,11/29/2019,Pankaj Chowdhary,,2019
Scarcity of Water in Forest Areas,11/29/2019,Jayant Sinha,,2019
Clean Technology Projects,11/29/2019,Rajyavardhan Singh Rathore,,2019
Funds for Environment Impact Assessment,11/29/2019,Girish Bhalchandra Bapat,,2019
Forest/Green Cover,11/29/2019,Sandhya RayDhanush M. KumarGanesan SelvamKani K. NavasRebati TripuraSubrat Pathak,,2019
Protection and Conservation of Wildlife,11/29/2019,Pritam Gopinath MundeChandrashekhar Sahu,,2019
Technical Cooperation with Switzerland on Climate Change,11/29/2019,Ravindra Kushawaha,,2019
Online Monitoring of Air Pollution,11/29/2019,Feroze Varun GandhiAchyutananda Samanta,,2019
"Amendment in Air (Prevention and Control of Pollution) Act, 1981",11/29/2019,Sunil Dattatray TatkareA.K.P. ChinrajAmol Ramsing KolheKuldeep Rai SharmaSubhash Ramrao BhamreSupriya Sule,,2019
International Coalition for Disaster Resilient Infrastructure,11/29/2019,Virendra Kumar,,2019
Displacement of Villagers from Protected Areas,11/29/2019,Vinod Chavda,,2019
Ban on Diesel Gensets,11/29/2019,Sukhbir Singh Jaunpuria,,2019
Forest Land Rights,11/22/2019,Kuldeep Rai SharmaA.K.P. ChinrajAdala Prabhakara ReddyAmol Ramsing KolheChirag PaswanChunni Lal SahuHarish DwivediJai PrakashKaushalendra KumarKhagen MurmuMagunta Sreenivasulu ReddyMahabali SinghManoj Kumar TiwariNama Nageswara RaoPrasun BanerjeeRajendra AgrawalRajiv Ranjan (Lalan) SinghSaugata RoySubhash Ramrao BhamreSunil Dattatray TatkareSupriya Sule,,2019
Burning of Crop Residue,11/22/2019,Hanuman Beniwal,,2019
Forest Areas,11/22/2019,Rajiv Pratap Rudy,,2019
Counting of Tigers in Himalayan Range,11/22/2019,Rajmohan Unnithan,,2019
Elevated Highway through Bandipur National Park,11/22/2019,Pinaki Misra,,2019
Problem of Smog,11/22/2019,Kanakmal Katara,,2019
Environmental Crisis,11/22/2019,Vishnu Datt Sharma,,2019
Relocation of Villages from Forest Areas,11/22/2019,Kunhalikutty P.K.,,2019
Bio-diversity Conservation,11/22/2019,P.P. ChaudharySrinivas Reddy Manne,,2019
CAMPA,11/22/2019,Gowdar Mallikarjunappa SiddeshwaraGeetha Viswanath VangaMagunta Sreenivasulu ReddyMidhun Reddy,,2019
India Cooling Action Plan,11/22/2019,Girish Bhalchandra Bapat,,2019
Forest Area,11/22/2019,Rajan Baburao Vichare,,2019
Kyoto Protocol,11/22/2019,Uttam Kumar Nalamada Reddy,,2019
Regulations on Culling of Vermin Species,11/22/2019,Gomati Sai,,2019
Green Belt,11/22/2019,Manoj Rajoria,,2019
Commitments under Paris Agreement,11/22/2019,Parbhubhai Nagarbhai Vasava,,2019
Forestation Activities,11/22/2019,Pradyut Bordoloi,,2019
Bio-diversity Hotspots,11/22/2019,Rajendra Dhedya Gavit,,2019
Pollution in Cities,11/22/2019,Uday Pratap Singh,,2019
Ill-effects of Chemicals of Plastics,11/22/2019,Ramdas Chandrabhanji TadasChandra Prakash JoshiRavindra KushawahaSangamlal Kadedin GuptaUmesh G. Jadhav,,2019
Wildlife Sanctuaries,11/22/2019,A. RajaV.K. Sreekandan,,2019
Production of Plastic,11/22/2019,Sushil Kumar Singh,,2019
Critically Polluted Industrial Clusters,11/22/2019,Kotagiri Sridhar,,2019
Single-use Plastic,11/22/2019,Ramesh Chander KaushikSaikia Dilip,,2019
Waste Collection,11/22/2019,Srinivas Kesineni,,2019
Vehicular Pollution,11/22/2019,Prataprao Ganpatrao JadhavBidyut Baran MahatoGajanan Chandrakant KirtikarSanjay Sadashivrao MandlikSudheer Gupta,,2019
Guidelines for Manufacturers of Single-use Plastic Items,11/22/2019,Aparajita SarangiFeroze Varun Gandhi,,2019
